,Date,Model,MAPE,File
702,2023-07-17,Mape_M_1,6.562310054896041,Mape_[7].csv
703,2023-07-18,Mape_M_1,6.766703044480289,Mape_[7].csv
704,2023-07-19,Mape_M_1,7.345947909396301,Mape_[7].csv
705,2023-07-20,Mape_M_1,6.123928169601647,Mape_[7].csv
706,2023-07-22,Mape_M_1,6.808052768285462,Mape_[7].csv
707,2023-07-24,Mape_M_1,10.385158127124276,Mape_[7].csv
708,2023-08-03,Mape_M_1,5.10657662305288,Mape_[7].csv
709,2023-08-05,Mape_M_1,5.462241942644671,Mape_[7].csv
710,2023-07-06,Mape_M_1,5.325695684484311,Mape_[7].csv
711,2023-05-01,Mape_M_1,7.8022792181431155,Mape_[7].csv
712,2022-11-21,Mape_M_1,6.53840404895413,Mape_[7].csv
713,2022-10-15,Mape_M_1,5.430538298945323,Mape_[7].csv
714,2022-10-23,Mape_M_1,6.07691410066989,Mape_[7].csv
715,2022-09-24,Mape_M_1,5.302272469747077,Mape_[7].csv
716,2022-09-28,Mape_M_1,5.121223743497291,Mape_[7].csv
717,2023-08-20,Mape_M_2,6.812661402006843,Mape_[7].csv
718,2023-08-21,Mape_M_2,5.576141087814893,Mape_[7].csv
719,2023-08-26,Mape_M_2,6.571920677714445,Mape_[7].csv
720,2023-09-02,Mape_M_2,7.891394349002989,Mape_[7].csv
721,2023-07-15,Mape_M_2,5.252074237419594,Mape_[7].csv
722,2023-07-18,Mape_M_2,5.579597716529732,Mape_[7].csv
723,2023-07-19,Mape_M_2,5.900501948218459,Mape_[7].csv
724,2023-07-20,Mape_M_2,6.178586671474457,Mape_[7].csv
725,2023-08-04,Mape_M_2,5.017345457573119,Mape_[7].csv
726,2023-08-05,Mape_M_2,6.372686624938778,Mape_[7].csv
727,2023-06-23,Mape_M_2,5.285292219870943,Mape_[7].csv
728,2023-06-27,Mape_M_2,5.279869629892303,Mape_[7].csv
729,2023-06-30,Mape_M_2,7.087243869291783,Mape_[7].csv
730,2023-07-01,Mape_M_2,7.14013968687749,Mape_[7].csv
731,2023-05-01,Mape_M_2,7.324946861908284,Mape_[7].csv
732,2022-11-21,Mape_M_2,5.053748593138896,Mape_[7].csv
733,2022-09-22,Mape_M_2,5.728936631034697,Mape_[7].csv
734,2022-09-25,Mape_M_2,5.134378805769713,Mape_[7].csv
735,2022-09-27,Mape_M_2,6.408136269633167,Mape_[7].csv
